,Award Mean,Award Sum,Company Count,Year,city_state,creative_employees,creative_establishments,empowerment_zone,median_household_income,performance_amount,performance_count,recipient_amount,recipient_count,regular_employees,regular_establishments,total_earned_bachelor,total_earned_graduate_degree,total_foreign,total_less_than_bachelor,total_native,total_population,Score_invented,Score_assigned,percent_creative_class,scaled_perc_creative_class,creative_establishment_ratio,company_count_perc,percent_bachelors,percent_graduate,percent_foreign_born,scaled_population,recipient_mean,performance_mean,Patents,inventor_patents
0,128725.714286,901080.0,7.0,2001,santaclara_ca,2222.0,188.0,0,69466.0,8192436.0,2.0,174193445.39,873.0,157590.0,6512.0,19771.0,11970.0,35694.0,50236.0,66410.0,102361.0,4.67997326613,5.39404227447,0.0139038370085,0.0166592346396,0.0280597014925,0.0010447761194,0.241177403418,0.146016565622,0.34870702709,11.5362610597,199534.301707,4096218.0,4603,1272
1,166188.029412,5650393.0,34.0,2001,houston_tx,45344.0,11568.0,1,36616.0,401235741.01,134.0,2363752706.55,3752.0,2895473.0,219720.0,222953.0,117707.0,516105.0,1079063.0,1438743.0,1953631.0,4.9195960282,5.39081257508,0.0154188444912,0.0229651322657,0.0500155650099,0.00014700287088,0.157039788748,0.0829084265029,0.264177319054,14.4852002504,629998.056117,2994296.5747,3989,1365
2,238464.416667,5723146.0,24.0,2001,sanjose_ca,10299.0,1751.0,0,70243.0,207137.34,10.0,337722478.3,849.0,427571.0,34442.0,125900.0,61878.0,329757.0,470458.0,564132.0,894943.0,5.43656365692,5.24908202308,0.0235206796538,0.0305526039559,0.0483795209018,0.000663111651424,0.191268785056,0.0940057973128,0.368467042035,13.7045153081,397788.549234,20713.734,2656,4707
3,253001.5,7590045.0,30.0,2001,sunnyvale_ca,1416.0,176.0,0,74409.0,60854714.0,9.0,1326810821.2,926.0,91156.0,5886.0,29268.0,21445.0,51990.0,54485.0,79915.0,131760.0,5.18457593538,5.10674946746,0.0152962018753,0.0174923418212,0.0290333223359,0.00494886176179,0.278218217076,0.203853685431,0.394581056466,11.7887373649,1432841.05961,6761634.88889,2000,2581
4,175075.826087,4026744.0,23.0,2001,newyork_ny,309161.0,25930.0,1,38293.0,2300853.59,123.0,840809405.74,4030.0,7422611.0,701640.0,933971.0,622164.0,2871032.0,4521870.0,5137246.0,8008278.0,4.69097751048,4.96278193827,0.0399857885101,0.0634208538951,0.0356391824842,3.16120785629e-05,0.15366407234,0.102363193186,0.358508033812,15.8959863147,208637.569663,18706.126748,1806,1110
5,171895.529412,2922224.0,17.0,2001,wilmington_de,0.0,394.0,1,35116.0,15048121.98,2.0,59240520.98,425.0,47362.0,5811.0,6579.0,4050.0,3648.0,43369.0,69016.0,72664.0,4.20566842949,4.88065375847,0.0,0.0,0.0634971796938,0.0027397260274,0.121837845846,0.0750027778807,0.0502036771992,11.1936013552,139389.461129,7524060.99,1723,394
6,299002.65,5980053.0,20.0,2001,paloalto_ca,822.0,414.0,0,90377.0,24000.0,2.0,188902796.0,449.0,65622.0,6520.0,14566.0,18869.0,15573.0,12966.0,43210.0,58598.0,5.09179713206,5.00018939417,0.0123713202095,0.0137372559421,0.0597057975195,0.00288433804442,0.31391564837,0.406650718735,0.265759923547,10.9784558453,420718.922049,12000.0,1664,2117
7,211309.635468,42895856.0,203.0,2001,sandiego_ca,21778.0,3318.0,1,45733.0,95001420.45,201.0,4990241574.68,13382.0,724238.0,63723.0,183324.0,105073.0,314227.0,642844.0,909114.0,1223400.0,5.036351867,4.98822075537,0.0291924033801,0.0394754342629,0.0494921018481,0.0030279977924,0.196859889116,0.112831157563,0.256847310773,14.0171444258,372907.007524,472643.882836,1407,2101
8,99828.5,199657.0,2.0,2001,dallas_tx,40498.0,8497.0,1,37628.0,7767793.92,43.0,427384622.04,2282.0,2095218.0,146203.0,144581.0,71262.0,290436.0,657941.0,897768.0,1188580.0,4.22689207501,4.54410513464,0.0189622590269,0.0276361888981,0.0549256625727,1.29282482224e-05,0.165465378171,0.0815556247311,0.24435544936,13.9882698753,187285.110447,180646.370233,1344,651
9,128911.333333,1160202.0,9.0,2001,redmond_wa,119.0,36.0,0,66735.0,108300.0,2.0,44668853.96,373.0,42138.0,3129.0,12328.0,5439.0,9368.0,17919.0,36021.0,45256.0,4.43793388071,4.6937173113,0.00281610147431,0.00299957760997,0.0113744075829,0.00284360189573,0.345457602421,0.152412710867,0.207000176772,10.720090537,119755.640643,54150.0,1142,685
10,245972.052632,4673469.0,19.0,2001,rochester_ny,5229.0,659.0,1,27123.0,50518.0,1.0,188392154.93,925.0,133154.0,9613.0,18675.0,10766.0,16077.0,128587.0,203689.0,219773.0,4.39511345518,4.52639102354,0.0377864333047,0.0447307502668,0.0641549844237,0.00184968847352,0.11817526008,0.0681271673374,0.0731527530679,12.3003504745,203667.194519,50518.0,1103,1046
11,749988.0,749988.0,1.0,2001,troy_mi,4174.0,401.0,0,77538.0,355515.76,2.0,41436043.56,205.0,212868.0,9279.0,16488.0,11942.0,15851.0,31368.0,65108.0,80959.0,3.85555496052,4.3451682516,0.0192313008542,0.0236311266395,0.0414256198347,0.000103305785124,0.275728285227,0.199705675775,0.195790461839,11.3016981327,202127.041756,177757.88,1001,339
12,237020.303571,13273137.0,56.0,2001,austin_tx,14047.0,3737.0,0,42689.0,18336245.06,17.0,749120150.13,3042.0,743049.0,74708.0,116455.0,59765.0,109006.0,332575.0,547296.0,656562.0,4.94097396864,4.73392627605,0.018553789744,0.0251167203765,0.0476384728153,0.000713875964051,0.228883931642,0.117463811555,0.166025447711,13.3947724085,246259.089458,1078602.65059,979,2228
13,227589.078947,8648385.0,38.0,2001,irvine_ca,1614.0,851.0,0,72057.0,0.0,1.0,280993000.69,1868.0,196170.0,13091.0,32725.0,21700.0,45877.0,55182.0,97157.0,143072.0,4.44372738859,4.63456415709,0.00816041742507,0.00995157258396,0.0610385884378,0.00272557739205,0.298566697382,0.197980056018,0.320656732275,11.871103279,150424.518571,0.0,953,702
14,85000.0,170000.0,2.0,2001,schenectady_ny,0.0,127.0,1,29378.0,218760667.0,2.0,646893537.0,63.0,16189.0,2343.0,4891.0,3150.0,4043.0,38811.0,57865.0,61821.0,3.8595820958,4.38495618432,0.0,0.0,0.0514170040486,0.00080971659919,0.10439255528,0.0672329889866,0.0653984891865,11.0319983916,10268151.381,109380333.5,918,255
15,0.0,0.0,0.0,2001,milpitas_ca,114.0,29.0,1,84429.0,0.0,0.0,0.0,0.0,19317.0,2090.0,10543.0,5122.0,29646.0,31661.0,33068.0,62698.0,4.37259189166,4.5597378988,0.00586691369461,0.00579335726877,0.0136857008023,0.0,0.222773950894,0.108228035329,0.472838049061,11.0460848282,0.0,0.0,911,565
16,173656.842105,3299480.0,19.0,2001,chicago_il,67464.0,13358.0,1,38625.0,470063.3,21.0,1973993538.11,4603.0,2505719.0,216175.0,319850.0,184387.0,628903.0,1634924.0,2267061.0,2896016.0,4.44840111983,4.53368681661,0.0262181119648,0.0386996484803,0.0581964249149,8.27767684821e-05,0.149521237532,0.0861959431759,0.217161438335,14.8788465573,428849.345668,22383.9666667,898,807
17,0.0,0.0,0.0,2001,stamford_ct,479.0,422.0,1,60556.0,0.0,0.0,0.0,0.0,122367.0,8637.0,20368.0,14181.0,34670.0,56728.0,82413.0,117083.0,3.74640802832,4.32595262501,0.00389919085685,0.00456933964926,0.0465835081135,0.0,0.223144932458,0.155362248978,0.296114722035,11.670638364,0.0,0.0,858,158
18,206956.572727,22765223.0,110.0,2001,cambridge_ma,3203.0,277.0,0,47979.0,21448920.44,25.0,748664192.42,1259.0,144786.0,6924.0,23520.0,26252.0,26218.0,38170.0,75137.0,101355.0,4.37897397724,4.64737452128,0.0216435005304,0.0257663562844,0.0384668796001,0.0152756561589,0.267449000478,0.298514930295,0.258674954368,11.5263844847,594649.874837,857956.8176,858,582
19,162360.045455,3571921.0,22.0,2001,cincinnati_oh,9246.0,857.0,1,29493.0,4632899.64,23.0,1538277577.36,2493.0,284120.0,18383.0,38804.0,21597.0,12461.0,189320.0,318201.0,331285.0,4.51258439607,4.63601801098,0.0315169447039,0.0396772371903,0.0445426195426,0.00114345114345,0.155389414587,0.0864845167207,0.0376141388834,12.7107343111,617038.739414,201430.41913,764,735
20,124100.363636,1365104.0,11.0,2001,minneapolis_mn,16201.0,1318.0,1,37974.0,6054064.0,7.0,979587435.56,2155.0,344839.0,22046.0,66808.0,32126.0,55475.0,199518.0,326977.0,382618.0,4.34656337226,4.49097507931,0.0448731442499,0.057423014099,0.0564115733607,0.000470809792844,0.223848391031,0.107642099902,0.144987951429,12.8547923814,454564.935295,864866.285714,696,518
21,0.0,0.0,0.0,2001,dearborn_mi,0.0,115.0,1,44560.0,0.0,0.0,0.0,0.0,49192.0,4354.0,10385.0,6781.0,24787.0,53487.0,72988.0,97775.0,3.76695445949,4.26707498124,0.0,0.0,0.0257328261356,0.0,0.146985973702,0.095976108587,0.253510611097,11.4904241996,0.0,0.0,679,186
22,95562.0,95562.0,1.0,2001,oakland_ca,5533.0,914.0,1,40055.0,4514000.0,7.0,2980013559.98,614.0,169595.0,16754.0,50295.0,33958.0,106116.0,215804.0,293361.0,399484.0,4.26761801055,4.41796255306,0.0315940340779,0.0381443380084,0.0517319447589,5.65995019244e-05,0.167618152551,0.113171830686,0.265632666139,12.8979289933,4853442.2801,644857.142857,644,375
23,248636.75,994547.0,4.0,2001,fremont_ca,1916.0,204.0,0,76579.0,0.0,0.0,17532056.0,156.0,83014.0,7761.0,37876.0,23017.0,75494.0,90131.0,127919.0,203413.0,4.88398385654,4.56145959654,0.0225597550924,0.0256043805364,0.0256120527307,0.000502197112367,0.250794575697,0.152406240068,0.371136554694,12.222993674,112384.974359,0.0,641,1922
24,239870.366667,14392222.0,60.0,2001,mountainview_ca,1513.0,135.0,0,51986.0,37927865.8,36.0,80626149.0,418.0,66390.0,5025.0,233.0,42.0,84.0,1435.0,2278.0,2468.0,4.89778049457,4.60444437903,0.02228178431,0.0247903466772,0.0261627906977,0.0116279069767,0.136257309942,0.0245614035088,0.0340356564019,7.81116338503,192885.523923,1053551.82778,585,1626
